City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,295.67,60,0,8.75,ZA,Mon Oct  2 10:51:49 2023
1,papatowai,-46.5619,169.4708,276.74,79,69,3.02,NZ,Mon Oct  2 10:51:55 2023
2,blackmans bay,-43.0167,147.3167,282.22,66,0,4.23,AU,Mon Oct  2 10:51:55 2023
3,stanley,54.868,-1.6985,287.75,81,20,2.57,GB,Mon Oct  2 10:48:29 2023
4,polyarnyy,69.1989,33.4478,276.43,66,80,4.7,RU,Mon Oct  2 10:51:55 2023
5,homer,59.6425,-151.5483,282.08,88,100,2.06,US,Mon Oct  2 10:47:27 2023
6,puerto natales,-51.7236,-72.4875,279.4,61,100,7.2,CL,Mon Oct  2 10:51:56 2023
7,port-aux-francais,-49.35,70.2167,274.01,61,100,15.58,TF,Mon Oct  2 10:51:56 2023
8,valparaiso,-33.0393,-71.6273,289.26,69,40,2.06,CL,Mon Oct  2 10:51:56 2023
9,west island,-12.1568,96.8225,298.14,78,86,10.29,CC,Mon Oct  2 10:51:56 2023
10,korla,41.7597,86.1469,293.08,29,78,2.51,CN,Mon Oct  2 10:51:56 2023
11,motygino,58.1831,94.7592,276.92,54,100,4.47,RU,Mon Oct  2 10:51:56 2023
12,freeport,40.6576,-73.5832,297.09,70,0,6.69,US,Mon Oct  2 10:51:56 2023
13,hermanus,-34.4187,19.2345,291.83,65,0,1.98,ZA,Mon Oct  2 10:51:56 2023
14,carnarvon,-24.8667,113.6333,291.25,64,0,10.54,AU,Mon Oct  2 10:51:56 2023
15,beaufort west,-32.3567,22.583,304.23,10,0,6.97,ZA,Mon Oct  2 10:51:57 2023
16,iqaluit,63.7506,-68.5145,277.0,86,75,5.14,CA,Mon Oct  2 10:51:57 2023
17,ko pha ngan,9.7578,100.0291,297.53,75,100,5.58,TH,Mon Oct  2 10:51:57 2023
18,waitangi,-43.9535,-176.5597,283.61,88,100,5.81,NZ,Mon Oct  2 10:51:57 2023
19,tiksi,71.6872,128.8694,269.83,89,100,3.68,RU,Mon Oct  2 10:51:57 2023
20,thompson,55.7435,-97.8558,276.24,100,100,1.54,CA,Mon Oct  2 10:51:57 2023
21,nabire,-3.3667,135.4833,298.08,92,100,1.93,ID,Mon Oct  2 10:51:57 2023
22,budva,42.2864,18.84,300.29,53,0,2.06,ME,Mon Oct  2 10:51:57 2023
23,port saint john's,-31.6229,29.5448,294.23,67,0,10.33,ZA,Mon Oct  2 10:51:57 2023
24,paragominas,-2.9667,-47.4833,310.24,32,67,2.38,BR,Mon Oct  2 10:51:58 2023
25,kaohsiung,22.6163,120.3133,301.12,81,40,2.57,TW,Mon Oct  2 10:51:58 2023
26,olonkinbyen,70.9221,-8.7187,275.84,89,100,8.24,SJ,Mon Oct  2 10:51:58 2023
27,udachny,66.4167,112.4,268.4,85,13,2.64,RU,Mon Oct  2 10:51:58 2023
28,carauari,-4.8828,-66.8958,310.63,38,54,0.29,BR,Mon Oct  2 10:51:58 2023
29,port elizabeth,-33.918,25.5701,296.1,61,0,6.69,ZA,Mon Oct  2 10:51:58 2023
30,belomorsk,64.5232,34.7668,279.24,81,37,1.96,RU,Mon Oct  2 10:51:58 2023
31,ta`u,-14.2336,-169.5144,299.78,79,99,11.37,AS,Mon Oct  2 10:51:58 2023
32,ylivieska,64.0833,24.55,284.44,82,100,1.74,FI,Mon Oct  2 10:51:58 2023
33,sitka,57.0531,-135.33,285.09,82,100,5.14,US,Mon Oct  2 10:51:59 2023
34,uturoa,-16.7333,-151.4333,299.03,81,12,5.78,PF,Mon Oct  2 10:51:59 2023
35,westport,41.1415,-73.3579,296.37,68,0,3.6,US,Mon Oct  2 10:50:03 2023
36,puerto ayora,-0.7393,-90.3518,300.13,100,99,0.89,EC,Mon Oct  2 10:51:59 2023
37,codrington,-38.2667,141.9667,294.97,38,67,8.57,AU,Mon Oct  2 10:51:59 2023
38,sorong,-0.8833,131.25,299.36,86,100,2.2,ID,Mon Oct  2 10:51:59 2023
39,chonchi,-42.6128,-73.8092,281.71,64,25,0.28,CL,Mon Oct  2 10:51:59 2023
40,posto fiscal rolim de moura,-13.0833,-62.2667,311.13,31,92,2.33,BR,Mon Oct  2 10:51:59 2023
41,itambacuri,-18.0311,-41.685,302.9,50,100,2.72,BR,Mon Oct  2 10:51:59 2023
42,yuzhno-kurilsk,44.0306,145.8556,287.8,74,9,4.23,RU,Mon Oct  2 10:51:59 2023
43,nemuro,43.3236,145.575,286.42,76,2,8.8,JP,Mon Oct  2 10:52:00 2023
44,punta arenas,-53.15,-70.9167,278.16,70,100,3.6,CL,Mon Oct  2 10:49:28 2023
45,kwang binh,17.4833,106.6,300.18,85,43,1.24,VN,Mon Oct  2 10:52:00 2023
46,enewetak,11.3474,162.3373,302.06,79,97,7.44,MH,Mon Oct  2 10:52:00 2023
47,tofol,5.3248,163.0078,301.63,71,27,0.26,FM,Mon Oct  2 10:52:00 2023
48,mount pearl,47.5166,-52.7813,287.84,88,75,1.54,CA,Mon Oct  2 10:52:00 2023
49,edinburgh of the seven seas,-37.0676,-12.3116,282.76,62,86,12.49,SH,Mon Oct  2 10:52:00 2023
50,castillos,-34.1667,-53.8333,289.91,62,0,2.15,UY,Mon Oct  2 10:52:00 2023
51,albany,42.6001,-73.9662,294.15,72,14,0.45,US,Mon Oct  2 10:51:16 2023
52,katipunan,7.5825,122.8306,299.39,84,100,1.96,PH,Mon Oct  2 10:52:00 2023
53,labasa,-16.4167,179.3833,295.1,86,100,4.25,FJ,Mon Oct  2 10:52:01 2023
54,olds,51.7834,-114.102,276.4,100,100,1.03,CA,Mon Oct  2 10:52:01 2023
55,gunjur,13.2019,-16.7339,307.19,59,75,3.09,GM,Mon Oct  2 10:52:01 2023
56,el alto,-4.2714,-81.2147,294.96,60,16,7.32,PE,Mon Oct  2 10:52:01 2023
57,capao da canoa,-29.7456,-50.0097,289.65,58,0,4.59,BR,Mon Oct  2 10:50:05 2023
58,sidi ifni,29.3797,-10.173,313.01,43,37,2.71,MA,Mon Oct  2 10:52:01 2023
